Banker Team,Banker Name,IC Name,Position As of Date,Relationship ID,EG Number,PP Code,Base Number,Portfolio Number,Financial Instrument Id,ISIN,Ticker,Security Name,Print Report Class Name,Asset Sub Class Name,Asset Sub Sub Class Name,Nominal Currency Code,Units,Amount in CCY,Amount in USD,Average Unit Cost,Current Price,Last Movement Date,Book Date,Maturity Date,PE/RE Commitment Amount:,PE/RE Contribution Amount:,PE/RE Capital Contribution Fund Expenses (Outside Commitment) ,PE/RE Distribution Amount:,PE/RE Outstanding Commitment Amount:,PE/RE Recallable Distributions:,Loan / Cash Rate to client,Cost of Fund,Spread,Tenor,Contract Ref Number,Contracted FX Rate,Pay Currency Code,Pay Amount,Pay Amount(USD),Receive Currency Code,Receive Amount,Receive Amount(USD),Tranch Code,Position Web Description,Security Name Line 1
MR-AP Spore Philippines Team 1,0e48326c28743cf16d896a9dd6b2ce5f826d7c830a6835883d19f89be2a5bd21,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,12-Aug-20,SR004022615,SR004022615-0007,SIHK,360cf70e13537634d061903c13139fff,35a1e60029f3ecb9d009fb5d9c3af69c,3.42E+11,HK2388011192,2388 HK Equity,BOC Hong Kong Holdings Ltd (2388 HK),EQUITIES,Common Stocks,Common Stock,HKD,"55,000.00","1,243,000.00","160,377.79",32.5784,22.6,3/16/2019,,,,,,,,,,,,,,,,,0,,,0,,BOC HONG KONG HO Ticker/ISIN : 2388/HK2388011192,BOC Hong Kong Holdings Ltd (2388 HK)
MR-AP Spore Philippines Team 1,0e48326c28743cf16d896a9dd6b2ce5f826d7c830a6835883d19f89be2a5bd21,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,12-Aug-20,SR004022615,SR004022615-0007,SIHK,360cf70e13537634d061903c13139fff,35a1e60029f3ecb9d009fb5d9c3af69c,4.68E+11,US46428Q1094,SLV UP Equity,ISHARES SILVER TRUST FUND ETF,EQUITIES,Mutual Funds,Equity mutual fund,USD,"2,450.00","57,158.50","57,158.50",21.4567,23.33,7/27/2020,,,,,,,,,,,,,,,,,0,,,0,,ISHARES SILVER F Ticker/ISIN : SLV/US46428Q1094,ISHARES SILVER TRUST FUND ETF
MR-AP Spore Philippines Team 1,0e48326c28743cf16d896a9dd6b2ce5f826d7c830a6835883d19f89be2a5bd21,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,12-Aug-20,SR004022615,SR004022615-0007,SIHK,360cf70e13537634d061903c13139fff,35a1e60029f3ecb9d009fb5d9c3af69c,5.43E+11,US78463V1070,GLD UP Equity,SPDR GOLD TRUST ETF,EQUITIES,Mutual Funds,Equity mutual fund,USD,565,"101,666.10","101,666.10",180.0155,179.94,7/27/2020,,,,,,,,,,,,,,,,,0,,,0,,SPDR GOLD TRUST Ticker/ISIN : GLD/US78463V1070,SPDR GOLD TRUST ETF
MR-AP Spore Philippines Team 1,0e48326c28743cf16d896a9dd6b2ce5f826d7c830a6835883d19f89be2a5bd21,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,12-Aug-20,SR004022615,SR004022615-0007,SIHK,360cf70e13537634d061903c13139fff,35a1e60029f3ecb9d009fb5d9c3af69c,A0199,,,AR China Incubator Feeder Fund (Cayman)  Ltd Cl A,ALTERNATIVE INVESTMENTS,Real Estate,RE-Funds,USD,,"6,115.25","6,115.25",,,,24-Aug-07,31-Dec-99,"250,000.00","241,490.00",0,"250,403.72","8,510.00",0,,,,362450,,,,,0,,,0,,AR China Incubator Feeder Fund (Cayman)  Ltd Cl A,AR China Incubator Feeder Fund (Cayman)
MR-AP Spore Philippines Team 1,0e48326c28743cf16d896a9dd6b2ce5f826d7c830a6835883d19f89be2a5bd21,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,12-Aug-20,SR004022615,SR004022615-0007,SIHK,360cf70e13537634d061903c13139fff,35a1e60029f3ecb9d009fb5d9c3af69c,C0010,KYG2154B1086,CVE2KF00PU,Venture 2000 Ltd,ALTERNATIVE INVESTMENTS,Private Equity,PE-Vent Cap,USD,,"19,486.80","19,486.80",,,,23-Jun-00,31-Dec-99,"300,000.00","300,000.00",0,"244,271.54",0,0,,,,36350,,,,,0,,,0,,Venture 2000 Ltd ISIN KYG2154B1086,Venture 2000 Ltd
MR-AP Spore Philippines Team 1,0e48326c28743cf16d896a9dd6b2ce5f826d7c830a6835883d19f89be2a5bd21,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,12-Aug-20,SR004022615,SR004022615-0007,SIHK,360cf70e13537634d061903c13139fff,35a1e60029f3ecb9d009fb5d9c3af69c,C0072,BSP2763D1234,PREQUFA0PU,StepStone Private Equity Ltd  Cl A (US),ALTERNATIVE INVESTMENTS,Private Equity,PE-MultiStgy,USD,,"2,781.56","2,781.56",,,,29-Jun-98,31-Dec-17,"300,000.00","300,000.00",0,"435,504.26",0,0,,,,7125,,,,,0,,,0,,StepStone Private Equity Ltd Cl A (US) ISIN BSP2763D1234,StepStone Private Equity Ltd
MR-AP Spore Philippines Team 1,0e48326c28743cf16d896a9dd6b2ce5f826d7c830a6835883d19f89be2a5bd21,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,12-Aug-20,SR004022615,SR004022615-0007,SIHK,360cf70e13537634d061903c13139fff,35a1e60029f3ecb9d009fb5d9c3af69c,C0073,BSP2763D1077,PREQUFB0PU,StepStone Private Equity Ltd  Cl B (Europe),ALTERNATIVE INVESTMENTS,Private Equity,PE-MultiStgy,USD,,"1,963.91","1,963.91",,,,29-Jun-98,31-Dec-17,"400,000.00","400,000.00",0,"777,070.01",0,0,,,,7125,,,,,0,,,0,,StepStone Private Equity Ltd Cl B (Europe) ISIN BSP2763D1077,StepStone Private Equity Ltd
MR-AP Spore Philippines Team 1,0e48326c28743cf16d896a9dd6b2ce5f826d7c830a6835883d19f89be2a5bd21,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,12-Aug-20,SR004022615,SR004022615-0007,SIHK,360cf70e13537634d061903c13139fff,35a1e60029f3ecb9d009fb5d9c3af69c,C0074,BSP2763D1150,PREQUFC0PU,StepStone Private Equity Ltd  Cl C (EM),ALTERNATIVE INVESTMENTS,Private Equity,PE-MultiStgy,USD,,"4,611.16","4,611.16",,,,29-Jun-98,31-Dec-17,"200,000.00","200,000.00",0,"241,704.41",0,0,,,,7125,,,,,0,,,0,,StepStone Private Equity Ltd Cl C (EM) ISIN BSP2763D1150,StepStone Private Equity Ltd
MR-AP Spore Philippines Team 1,0e48326c28743cf16d896a9dd6b2ce5f826d7c830a6835883d19f89be2a5bd21,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,12-Aug-20,SR004022615,SR004022615-0007,SIHK,360cf70e13537634d061903c13139fff,35a1e60029f3ecb9d009fb5d9c3af69c,C0289,US1339970071,,TRG Growth Partnership  (Cayman Offshore) II LP Cl A,ALTERNATIVE INVESTMENTS,Private Equity,PE-Lev Buyout,USD,,"39,507.90","39,507.90",,,,23-Mar-07,1-Jan-18,"300,000.00","299,356.11","11,284.87","301,573.33","4,464.80","3,820.91",,,,3937,,,,,0,,,0,,TRG Growth Partnership (Cayman Offshore) II LP Cl A ISIN US1339970071,TRG Growth Partnership
MR-AP Spore Philippines Team 1,0e48326c28743cf16d896a9dd6b2ce5f826d7c830a6835883d19f89be2a5bd21,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,12-Aug-20,SR004022615,SR004022615-0007,SIHK,360cf70e13537634d061903c13139fff,35a1e60029f3ecb9d009fb5d9c3af69c,C0722,KYG741672250,CIMCHEF KY,CHINA HONG KONG EQ OPPORTUNITIES FOUNDER UNIT USD A-NT,EQUITIES,Mutual Funds,Equity mutual fund,USD,"25,696.37","327,294.69","327,294.69",9.728999,12.737,,27-Mar-20,,,,,,,,,,,,,,,,0,,,0,,Red Arc Global Invest. (Cayman) Trust China HK Eqty Founder Cl A Unit USD NT ISIN KYG741672250,Red Arc Global Invest. (Cayman) Trust
