,asOfDate.value,position.id,account.id,position.constituent.holding.underlyingAsset.description,position.constituent.holding.quantity.number,position.scheduledDate.adjustedDate,position.scheduledDate.type.scheduledDateTypeScheme,position.valuation.quote,position.assetClassTaxonmony.assetClassNameAtLevel1,position.assetClassTaxonmony.assetClassNameAtLevel2,position.assetClassTaxonmony.assetClassNameAtLevel3,position.constituent.holding.underlyingAsset.commitmentAmount,position.constituent.holding.underlyingAsset.outstandingCommitmentAmount,position.constituent.holding.underlyingAsset.contributionAmount,position.constituent.holding.underlyingAsset.capitalContributionFundExpense,position.constituent.holding.underlyingAsset.distributionAmount,position.constituent.holding.underlyingAsset.recallableDistribution,position.constituent.tradeReference.partyTradeIdentifier,position.constituent.holding.underlyingAsset.maturity,position.constituent.tradeReference.partyTradeIdentifier.id,position.constituent.holding.underlyingAsset.instrumentId.financialInstrument.value,position.constituent.holding.underlyingAsset.instrumentId.financialInstrument.instrumentIdScheme,position.constituent.holding.underlyingAsset.instrumentId.ticker.value,position.constituent.holding.underlyingAsset.instrumentId.ticker.instrumentIdScheme,party.banker.partyName.value,party.banker.groupType.value,party.banker.id,party.ic.partyName.value,party.ic.groupType.value,party.ic.id,party.relationship.partyName.value,party.relationship.groupType.value,party.relationship.id,party.eg.partyName.value,party.eg.groupType.value,party.eg.id,party.pp.partyName.value,party.pp.groupType.value,party.pp.id,party.client.partyName.value,party.client.groupType.value,party.client.id
0,"Aug 12, 2020 12:00:00 AM",Common Stock BOC HONG KONG HO Ticker/ISIN : 2388/HK2388011192,35a1e60029f3ecb9d009fb5d9c3af69c,BOC Hong Kong Holdings Ltd (2388 HK),55000.0,"Mar 16, 2019 12:00:00 AM",Last movement date,"[{'value': 1243000.0, 'measureType': {'value': 'Notional'}, 'currency': {'value': 'HKD'}}, {'value': 160377.786543623, 'measureType': {'value': 'Notional'}, 'currency': {'value': 'USD'}}, {'value': 32.5784, 'measureType': {'value': 'Average unit cost'}, 'currency': {'value': 'HKD'}}, {'value': 22.6, 'measureType': {'value': 'Current unit price'}, 'currency': {'value': 'HKD'}}, {'value': 0, 'measureType': {'value': 'Pay amount(USD)'}, 'currency': {'value': 'USD'}}, {'value': 0, 'measureType': {'value': 'Receive amount(USD)'}, 'currency': {'value': 'USD'}}]",EQUITIES,Common Stocks,Common Stock,,,,,,,,,,341673108003,Financial Instrument Id,2388 HK Equity,Ticker,MR-AP Spore Philippines Team 1,Banker,0e48326c28743cf16d896a9dd6b2ce5f826d7c830a6835883d19f89be2a5bd21,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,Investment Counsellor/ IC,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,SR004022615,Relationship,SR004022615,SR004022615-0007,Entitlement Group/ EG,SR004022615-0007,SIHK,Product Processor/ PP,SIHK,SR004022615,Client,360cf70e13537634d061903c13139fff
1,"Aug 12, 2020 12:00:00 AM",Equity mutual fund ISHARES SILVER F Ticker/ISIN : SLV/US46428Q1094,35a1e60029f3ecb9d009fb5d9c3af69c,ISHARES SILVER TRUST FUND ETF,2450.0,"Jul 27, 2020 12:00:00 AM",Last movement date,"[{'value': 57158.5, 'measureType': {'value': 'Notional'}, 'currency': {'value': 'USD'}}, {'value': 57158.5, 'measureType': {'value': 'Notional'}, 'currency': {'value': 'USD'}}, {'value': 21.4567, 'measureType': {'value': 'Average unit cost'}, 'currency': {'value': 'USD'}}, {'value': 23.33, 'measureType': {'value': 'Current unit price'}, 'currency': {'value': 'USD'}}, {'value': 0, 'measureType': {'value': 'Pay amount(USD)'}, 'currency': {'value': 'USD'}}, {'value': 0, 'measureType': {'value': 'Receive amount(USD)'}, 'currency': {'value': 'USD'}}]",EQUITIES,Mutual Funds,Equity mutual fund,,,,,,,,,,468053160876,Financial Instrument Id,SLV UP Equity,Ticker,MR-AP Spore Philippines Team 1,Banker,0e48326c28743cf16d896a9dd6b2ce5f826d7c830a6835883d19f89be2a5bd21,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,Investment Counsellor/ IC,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,SR004022615,Relationship,SR004022615,SR004022615-0007,Entitlement Group/ EG,SR004022615-0007,SIHK,Product Processor/ PP,SIHK,SR004022615,Client,360cf70e13537634d061903c13139fff
2,"Aug 12, 2020 12:00:00 AM",Equity mutual fund SPDR GOLD TRUST Ticker/ISIN : GLD/US78463V1070,35a1e60029f3ecb9d009fb5d9c3af69c,SPDR GOLD TRUST ETF,565.0,"Jul 27, 2020 12:00:00 AM",Last movement date,"[{'value': 101666.1, 'measureType': {'value': 'Notional'}, 'currency': {'value': 'USD'}}, {'value': 101666.1, 'measureType': {'value': 'Notional'}, 'currency': {'value': 'USD'}}, {'value': 180.0155, 'measureType': {'value': 'Average unit cost'}, 'currency': {'value': 'USD'}}, {'value': 179.94, 'measureType': {'value': 'Current unit price'}, 'currency': {'value': 'USD'}}, {'value': 0, 'measureType': {'value': 'Pay amount(USD)'}, 'currency': {'value': 'USD'}}, {'value': 0, 'measureType': {'value': 'Receive amount(USD)'}, 'currency': {'value': 'USD'}}]",EQUITIES,Mutual Funds,Equity mutual fund,,,,,,,,,,543466300238,Financial Instrument Id,GLD UP Equity,Ticker,MR-AP Spore Philippines Team 1,Banker,0e48326c28743cf16d896a9dd6b2ce5f826d7c830a6835883d19f89be2a5bd21,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,Investment Counsellor/ IC,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,SR004022615,Relationship,SR004022615,SR004022615-0007,Entitlement Group/ EG,SR004022615-0007,SIHK,Product Processor/ PP,SIHK,SR004022615,Client,360cf70e13537634d061903c13139fff
3,"Aug 12, 2020 12:00:00 AM",RE-Funds AR China Incubator Feeder Fund (Cayman)  Ltd Cl A,35a1e60029f3ecb9d009fb5d9c3af69c,AR China Incubator Feeder Fund (Cayman)  Ltd Cl A,1.0,"Aug 24, 2007 12:00:00 AM",Book date,"[{'value': 6115.25, 'measureType': {'value': 'Notional'}, 'currency': {'value': 'USD'}}, {'value': 6115.25, 'measureType': {'value': 'Notional'}, 'currency': {'value': 'USD'}}, {'value': 0, 'measureType': {'value': 'Pay amount(USD)'}, 'currency': {'value': 'USD'}}, {'value': 0, 'measureType': {'value': 'Receive amount(USD)'}, 'currency': {'value': 'USD'}}]",ALTERNATIVE INVESTMENTS,Real Estate,RE-Funds,250000.0,8510.0,241490.0,0.0,250403.72,0.0,,,,A0199,Financial Instrument Id,,Ticker,MR-AP Spore Philippines Team 1,Banker,0e48326c28743cf16d896a9dd6b2ce5f826d7c830a6835883d19f89be2a5bd21,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,Investment Counsellor/ IC,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,SR004022615,Relationship,SR004022615,SR004022615-0007,Entitlement Group/ EG,SR004022615-0007,SIHK,Product Processor/ PP,SIHK,SR004022615,Client,360cf70e13537634d061903c13139fff
4,"Aug 12, 2020 12:00:00 AM",PE-Vent Cap Venture 2000 Ltd ISIN KYG2154B1086,35a1e60029f3ecb9d009fb5d9c3af69c,Venture 2000 Ltd,1.0,"Jun 23, 2000 12:00:00 AM",Book date,"[{'value': 19486.8, 'measureType': {'value': 'Notional'}, 'currency': {'value': 'USD'}}, {'value': 19486.8, 'measureType': {'value': 'Notional'}, 'currency': {'value': 'USD'}}, {'value': 0, 'measureType': {'value': 'Pay amount(USD)'}, 'currency': {'value': 'USD'}}, {'value': 0, 'measureType': {'value': 'Receive amount(USD)'}, 'currency': {'value': 'USD'}}]",ALTERNATIVE INVESTMENTS,Private Equity,PE-Vent Cap,300000.0,0.0,300000.0,0.0,244271.54,0.0,,,,C0010,Financial Instrument Id,CVE2KF00PU,Ticker,MR-AP Spore Philippines Team 1,Banker,0e48326c28743cf16d896a9dd6b2ce5f826d7c830a6835883d19f89be2a5bd21,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,Investment Counsellor/ IC,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,SR004022615,Relationship,SR004022615,SR004022615-0007,Entitlement Group/ EG,SR004022615-0007,SIHK,Product Processor/ PP,SIHK,SR004022615,Client,360cf70e13537634d061903c13139fff
5,"Aug 12, 2020 12:00:00 AM",PE-MultiStgy StepStone Private Equity Ltd Cl A (US) ISIN BSP2763D1234,35a1e60029f3ecb9d009fb5d9c3af69c,StepStone Private Equity Ltd  Cl A (US),1.0,"Jun 29, 1998 12:00:00 AM",Book date,"[{'value': 2781.56, 'measureType': {'value': 'Notional'}, 'currency': {'value': 'USD'}}, {'value': 2781.56, 'measureType': {'value': 'Notional'}, 'currency': {'value': 'USD'}}, {'value': 0, 'measureType': {'value': 'Pay amount(USD)'}, 'currency': {'value': 'USD'}}, {'value': 0, 'measureType': {'value': 'Receive amount(USD)'}, 'currency': {'value': 'USD'}}]",ALTERNATIVE INVESTMENTS,Private Equity,PE-MultiStgy,300000.0,0.0,300000.0,0.0,435504.26,0.0,,,,C0072,Financial Instrument Id,PREQUFA0PU,Ticker,MR-AP Spore Philippines Team 1,Banker,0e48326c28743cf16d896a9dd6b2ce5f826d7c830a6835883d19f89be2a5bd21,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,Investment Counsellor/ IC,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,SR004022615,Relationship,SR004022615,SR004022615-0007,Entitlement Group/ EG,SR004022615-0007,SIHK,Product Processor/ PP,SIHK,SR004022615,Client,360cf70e13537634d061903c13139fff
6,"Aug 12, 2020 12:00:00 AM",PE-MultiStgy StepStone Private Equity Ltd Cl B (Europe) ISIN BSP2763D1077,35a1e60029f3ecb9d009fb5d9c3af69c,StepStone Private Equity Ltd  Cl B (Europe),1.0,"Jun 29, 1998 12:00:00 AM",Book date,"[{'value': 1963.91, 'measureType': {'value': 'Notional'}, 'currency': {'value': 'USD'}}, {'value': 1963.91, 'measureType': {'value': 'Notional'}, 'currency': {'value': 'USD'}}, {'value': 0, 'measureType': {'value': 'Pay amount(USD)'}, 'currency': {'value': 'USD'}}, {'value': 0, 'measureType': {'value': 'Receive amount(USD)'}, 'currency': {'value': 'USD'}}]",ALTERNATIVE INVESTMENTS,Private Equity,PE-MultiStgy,400000.0,0.0,400000.0,0.0,777070.01,0.0,,,,C0073,Financial Instrument Id,PREQUFB0PU,Ticker,MR-AP Spore Philippines Team 1,Banker,0e48326c28743cf16d896a9dd6b2ce5f826d7c830a6835883d19f89be2a5bd21,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,Investment Counsellor/ IC,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,SR004022615,Relationship,SR004022615,SR004022615-0007,Entitlement Group/ EG,SR004022615-0007,SIHK,Product Processor/ PP,SIHK,SR004022615,Client,360cf70e13537634d061903c13139fff
7,"Aug 12, 2020 12:00:00 AM",PE-MultiStgy StepStone Private Equity Ltd Cl C (EM) ISIN BSP2763D1150,35a1e60029f3ecb9d009fb5d9c3af69c,StepStone Private Equity Ltd  Cl C (EM),1.0,"Jun 29, 1998 12:00:00 AM",Book date,"[{'value': 4611.16, 'measureType': {'value': 'Notional'}, 'currency': {'value': 'USD'}}, {'value': 4611.16, 'measureType': {'value': 'Notional'}, 'currency': {'value': 'USD'}}, {'value': 0, 'measureType': {'value': 'Pay amount(USD)'}, 'currency': {'value': 'USD'}}, {'value': 0, 'measureType': {'value': 'Receive amount(USD)'}, 'currency': {'value': 'USD'}}]",ALTERNATIVE INVESTMENTS,Private Equity,PE-MultiStgy,200000.0,0.0,200000.0,0.0,241704.41,0.0,,,,C0074,Financial Instrument Id,PREQUFC0PU,Ticker,MR-AP Spore Philippines Team 1,Banker,0e48326c28743cf16d896a9dd6b2ce5f826d7c830a6835883d19f89be2a5bd21,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,Investment Counsellor/ IC,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,SR004022615,Relationship,SR004022615,SR004022615-0007,Entitlement Group/ EG,SR004022615-0007,SIHK,Product Processor/ PP,SIHK,SR004022615,Client,360cf70e13537634d061903c13139fff
8,"Aug 12, 2020 12:00:00 AM",PE-Lev Buyout TRG Growth Partnership (Cayman Offshore) II LP Cl A ISIN US1339970071,35a1e60029f3ecb9d009fb5d9c3af69c,TRG Growth Partnership  (Cayman Offshore) II LP Cl A,1.0,"Mar 23, 2007 12:00:00 AM",Book date,"[{'value': 39507.9, 'measureType': {'value': 'Notional'}, 'currency': {'value': 'USD'}}, {'value': 39507.9, 'measureType': {'value': 'Notional'}, 'currency': {'value': 'USD'}}, {'value': 0, 'measureType': {'value': 'Pay amount(USD)'}, 'currency': {'value': 'USD'}}, {'value': 0, 'measureType': {'value': 'Receive amount(USD)'}, 'currency': {'value': 'USD'}}]",ALTERNATIVE INVESTMENTS,Private Equity,PE-Lev Buyout,300000.0,4464.8,299356.11,11284.87,301573.33,3820.91,,,,C0289,Financial Instrument Id,,Ticker,MR-AP Spore Philippines Team 1,Banker,0e48326c28743cf16d896a9dd6b2ce5f826d7c830a6835883d19f89be2a5bd21,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,Investment Counsellor/ IC,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,SR004022615,Relationship,SR004022615,SR004022615-0007,Entitlement Group/ EG,SR004022615-0007,SIHK,Product Processor/ PP,SIHK,SR004022615,Client,360cf70e13537634d061903c13139fff
9,"Aug 12, 2020 12:00:00 AM",Equity mutual fund Red Arc Global Invest. (Cayman) Trust China HK Eqty Founder Cl A Unit USD NT ISIN KYG741672250,35a1e60029f3ecb9d009fb5d9c3af69c,CHINA HONG KONG EQ OPPORTUNITIES FOUNDER UNIT USD A-NT,25696.3717,"Mar 27, 2020 12:00:00 AM",Book date,"[{'value': 327294.686, 'measureType': {'value': 'Notional'}, 'currency': {'value': 'USD'}}, {'value': 327294.686, 'measureType': {'value': 'Notional'}, 'currency': {'value': 'USD'}}, {'value': 9.728999, 'measureType': {'value': 'Average unit cost'}, 'currency': {'value': 'USD'}}, {'value': 12.737, 'measureType': {'value': 'Current unit price'}, 'currency': {'value': 'USD'}}, {'value': 0, 'measureType': {'value': 'Pay amount(USD)'}, 'currency': {'value': 'USD'}}, {'value': 0, 'measureType': {'value': 'Receive amount(USD)'}, 'currency': {'value': 'USD'}}]",EQUITIES,Mutual Funds,Equity mutual fund,,,,,,,,,,C0722,Financial Instrument Id,CIMCHEF KY,Ticker,MR-AP Spore Philippines Team 1,Banker,0e48326c28743cf16d896a9dd6b2ce5f826d7c830a6835883d19f89be2a5bd21,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,Investment Counsellor/ IC,6381c66c21cbb3eec043f5a00d4d5b687b47a5b2cfa1065a849ab108c861cec3,SR004022615,Relationship,SR004022615,SR004022615-0007,Entitlement Group/ EG,SR004022615-0007,SIHK,Product Processor/ PP,SIHK,SR004022615,Client,360cf70e13537634d061903c13139fff
