Banker Team,Banker Name,IC Name,Position As of Date,Relationship ID,EG Number,PP Code,Base Number,Portfolio Number,Financial Instrument Id,ISIN,Ticker,Security Name,Print Report Class Name,Asset Sub Class Name,Asset Sub Sub Class Name,Nominal Currency Code,Units,Amount in CCY,Amount in USD,Average Unit Cost,Current Price,Last Movement Date,Book Date,Maturity Date,PE/RE Commitment Amount:,PE/RE Contribution Amount:,PE/RE Capital Contribution Fund Expenses,PE/RE Distribution Amount:,PE/RE Outstanding Commitment Amount:,PE/RE Recallable Distributions:,Loan / Cash Rate to client,Cost of Fund,Spread,Tenor,Contract Ref Number,Contracted FX Rate,Pay Currency Code,Pay Amount,Pay Amount(USD),Receive Currency Code,Receive Amount,Receive Amount(USD),Tranch Code,Position Web Description,Security Name Line 1,Rank,Moodys R,S&P R,Fitch,Coupon,YTC,YTM,Coupon type,Issue Date,Next Call Date,Return on Contribution,Market Consensus
MR-AP Spore Malaysia Team,463eae5f99cf6682469ad81ab632e23638d11e709d6a7ff64a73632c827313ff,7161c8127a8c0f6263b7b145bd96ee04f8c794b5b426edff62496cd9900d70f0,12/8/2020,SR004088246,SR004088246-0005,SIHK,d910a069877d1f93f2d8efddeda160ea,444e0a04d84c5e013aa4e248d0718879,6.32E+11,HK0000069689,1299.HK,AIA Group Ltd (1299.HK),EQUITIES,Common Stocks,Common Stock,HKD,"10,000.00","748,500.00","96,575.04",40.6999,74.85,7/11/2018,,,,,,,,,,,,,,,,,0,,,0,,AIA GROUP LTD Ticker/ISIN : 1299/HK0000069689,AIA Group Ltd (1299.HK),,,,,,,,,,,,0.81
MR-AP Spore Malaysia Team,463eae5f99cf6682469ad81ab632e23638d11e709d6a7ff64a73632c827313ff,7161c8127a8c0f6263b7b145bd96ee04f8c794b5b426edff62496cd9900d70f0,10/8/2020,SR004088246,SR004088246-0005,SIHK,d910a069877d1f93f2d8efddeda160ea,444e0a04d84c5e013aa4e248d0718879,6.32E+11,HK0000069689,1299.HK,AIA Group Ltd (1299.HK),EQUITIES,Common Stocks,Common Stock,HKD,"10,000.00","621,255.00","96,575.04",40.6999,74.85,7/11/2018,,,,,,,,,,,,,,,,,0,,,0,,AIA GROUP LTD Ticker/ISIN : 1299/HK0000069689,AIA Group Ltd (1299.HK),,,,,,,,,,,,0.7
MR-AP Spore Malaysia Team,463eae5f99cf6682469ad81ab632e23638d11e709d6a7ff64a73632c827313ff,7161c8127a8c0f6263b7b145bd96ee04f8c794b5b426edff62496cd9900d70f0,9/8/2020,SR004088246,SR004088246-0005,SIHK,d910a069877d1f93f2d8efddeda160ea,444e0a04d84c5e013aa4e248d0718879,6.32E+11,HK0000069689,1299.HK,AIA Group Ltd (1299.HK),EQUITIES,Common Stocks,Common Stock,HKD,"10,000.00","883,230.00","112,027.05",40.6999,74.85,7/11/2018,,,,,,,,,,,,,,,,,0,,,0,,AIA GROUP LTD Ticker/ISIN : 1299/HK0000069689,AIA Group Ltd (1299.HK),,,,,,,,,,,,0.68
MR-AP Spore Malaysia Team,463eae5f99cf6682469ad81ab632e23638d11e709d6a7ff64a73632c827313ff,7161c8127a8c0f6263b7b145bd96ee04f8c794b5b426edff62496cd9900d70f0,8/8/2020,SR004088246,SR004088246-0005,SIHK,d910a069877d1f93f2d8efddeda160ea,444e0a04d84c5e013aa4e248d0718879,6.32E+11,HK0000069689,1299.HK,AIA Group Ltd (1299.HK),EQUITIES,Common Stocks,Common Stock,HKD,"10,000.00","785,925.00","97,540.79",40.6999,74.85,7/11/2018,,,,,,,,,,,,,,,,,0,,,0,,AIA GROUP LTD Ticker/ISIN : 1299/HK0000069689,AIA Group Ltd (1299.HK),,,,,,,,,,,,0.61
MR-AP Spore Malaysia Team,463eae5f99cf6682469ad81ab632e23638d11e709d6a7ff64a73632c827313ff,7161c8127a8c0f6263b7b145bd96ee04f8c794b5b426edff62496cd9900d70f0,7/8/2020,SR004088246,SR004088246-0005,SIHK,d910a069877d1f93f2d8efddeda160ea,444e0a04d84c5e013aa4e248d0718879,6.32E+11,HK0000069689,1299.HK,AIA Group Ltd (1299.HK),EQUITIES,Common Stocks,Common Stock,HKD,"10,000.00","748,500.00","87,883.29",40.6999,74.85,7/11/2018,,,,,,,,,,,,,,,,,0,,,0,,AIA GROUP LTD Ticker/ISIN : 1299/HK0000069689,AIA Group Ltd (1299.HK),,,,,,,,,,,,0.74
MR-AP Spore Malaysia Team,463eae5f99cf6682469ad81ab632e23638d11e709d6a7ff64a73632c827313ff,7161c8127a8c0f6263b7b145bd96ee04f8c794b5b426edff62496cd9900d70f0,6/8/2020,SR004088246,SR004088246-0005,SIHK,d910a069877d1f93f2d8efddeda160ea,444e0a04d84c5e013aa4e248d0718879,6.32E+11,HK0000069689,1299.HK,AIA Group Ltd (1299.HK),EQUITIES,Common Stocks,Common Stock,HKD,"10,000.00","598,800.00","79,191.53",40.6999,74.85,7/11/2018,,,,,,,,,,,,,,,,,0,,,0,,AIA GROUP LTD Ticker/ISIN : 1299/HK0000069689,AIA Group Ltd (1299.HK),,,,,,,,,,,,0.68
MR-AP Spore Malaysia Team,463eae5f99cf6682469ad81ab632e23638d11e709d6a7ff64a73632c827313ff,7161c8127a8c0f6263b7b145bd96ee04f8c794b5b426edff62496cd9900d70f0,5/8/2020,SR004088246,SR004088246-0005,SIHK,d910a069877d1f93f2d8efddeda160ea,444e0a04d84c5e013aa4e248d0718879,6.32E+11,HK0000069689,1299.HK,AIA Group Ltd (1299.HK),EQUITIES,Common Stocks,Common Stock,HKD,"10,000.00","696,105.00","80,157.28",40.6999,74.85,7/11/2018,,,,,,,,,,,,,,,,,0,,,0,,AIA GROUP LTD Ticker/ISIN : 1299/HK0000069689,AIA Group Ltd (1299.HK),,,,,,,,,,,,0.91
MR-AP Spore Malaysia Team,463eae5f99cf6682469ad81ab632e23638d11e709d6a7ff64a73632c827313ff,7161c8127a8c0f6263b7b145bd96ee04f8c794b5b426edff62496cd9900d70f0,15/2/2020,SR004088246,SR004088246-0005,SIHK,d910a069877d1f93f2d8efddeda160ea,444e0a04d84c5e013aa4e248d0718879,6.32E+11,HK0000069689,1299.HK,AIA Group Ltd (1299.HK),EQUITIES,Common Stocks,Common Stock,HKD,"10,000.00","654,338.70","72,141.55",40.6999,74.85,7/11/2018,,,,,,,,,,,,,,,,,0,,,0,,AIA GROUP LTD Ticker/ISIN : 1299/HK0000069689,AIA Group Ltd (1299.HK),,,,,,,,,,,,1
MR-AP Spore Malaysia Team,463eae5f99cf6682469ad81ab632e23638d11e709d6a7ff64a73632c827313ff,7161c8127a8c0f6263b7b145bd96ee04f8c794b5b426edff62496cd9900d70f0,2/3/2020,SR004088246,SR004088246-0005,SIHK,d910a069877d1f93f2d8efddeda160ea,444e0a04d84c5e013aa4e248d0718879,6.32E+11,HK0000069689,1299.HK,AIA Group Ltd (1299.HK),EQUITIES,Common Stocks,Common Stock,HKD,"10,000.00","661,299.75","76,149.42",40.6999,74.85,7/11/2018,,,,,,,,,,,,,,,,,0,,,0,,AIA GROUP LTD Ticker/ISIN : 1299/HK0000069689,AIA Group Ltd (1299.HK),,,,,,,,,,,,0.62
MR-AP Spore Malaysia Team,463eae5f99cf6682469ad81ab632e23638d11e709d6a7ff64a73632c827313ff,7161c8127a8c0f6263b7b145bd96ee04f8c794b5b426edff62496cd9900d70f0,13/4/2020,SR004088246,SR004088246-0005,SIHK,d910a069877d1f93f2d8efddeda160ea,444e0a04d84c5e013aa4e248d0718879,6.32E+11,HK0000069689,1299.HK,AIA Group Ltd (1299.HK),EQUITIES,Common Stocks,Common Stock,HKD,"10,000.00","654,338.70","72,141.55",40.6999,74.85,7/11/2018,,,,,,,,,,,,,,,,,0,,,0,,AIA GROUP LTD Ticker/ISIN : 1299/HK0000069689,AIA Group Ltd (1299.HK),,,,,,,,,,,,0.61
